id,city,location,picture_url,listing_url,room_type,accommodates,price,beds,review_scores_rating,number_of_reviews,latitude,longitude
11681135,San Diego,San Diego,https://a0.muscache.com/pictures/miso/Hosting-11681135/original/7997321a-9b45-4143-b27d-44eebf8eda7f.jpeg,https://www.airbnb.com/rooms/11681135,Entire home/apt,6,245.0,4.0,4.7,263,32.71819,-117.13499
11702079,San Diego,San Diego,https://a0.muscache.com/pictures/miso/Hosting-11702079/original/061d44cb-f182-4cb8-ae98-d40fc9f667b0.jpeg,https://www.airbnb.com/rooms/11702079,Entire home/apt,6,175.0,5.0,4.94,72,32.76786624419903,-117.25017231527096
11965016,San Diego,San Diego,https://a0.muscache.com/pictures/1301ac7e-bad9-44cd-b03b-3a54370707d4.jpg,https://www.airbnb.com/rooms/11965016,Entire home/apt,6,365.0,4.0,4.69,51,32.77613,-117.25223
12053096,San Diego,San Diego,https://a0.muscache.com/pictures/miso/Hosting-12053096/original/5d2794e2-151d-4c63-9856-ee6a3debaf77.jpeg,https://www.airbnb.com/rooms/12053096,Entire home/apt,6,232.0,5.0,4.9,306,32.794007135334695,-117.24277315421416
12607440,San Diego,Del Mar,https://a0.muscache.com/pictures/c5320c8c-105b-4fd6-b5bb-7354d10f3a64.jpg,https://www.airbnb.com/rooms/12607440,Entire home/apt,6,220.0,4.0,4.88,111,32.95533,-117.25218
13391602,San Diego,San Diego,https://a0.muscache.com/pictures/miso/Hosting-13391602/original/e17f71a7-12b1-47b9-8a48-a6b437c76a36.jpeg,https://www.airbnb.com/rooms/13391602,Entire home/apt,6,249.0,4.0,4.84,95,32.76234,-117.25024
13393626,San Diego,San Diego,https://a0.muscache.com/pictures/miso/Hosting-13393626/original/b027c602-3035-4bbf-9c83-7b72a437fbab.jpeg,https://www.airbnb.com/rooms/13393626,Entire home/apt,6,172.0,5.0,4.79,529,32.71321,-117.16091
12847616,San Diego,San Diego,https://a0.muscache.com/pictures/miso/Hosting-12847616/original/6e83b31c-8f49-40a9-998b-f0fa7e06007a.jpeg,https://www.airbnb.com/rooms/12847616,Entire home/apt,5,235.0,4.0,4.97,167,32.71995,-117.12422
12856471,San Diego,San Diego,https://a0.muscache.com/pictures/miso/Hosting-12856471/original/1d54a5c3-deaa-422c-ac38-720cdf1f63d9.jpeg,https://www.airbnb.com/rooms/12856471,Entire home/apt,5,249.0,4.0,4.78,186,32.803772,-117.239818
13002184,San Diego,San Diego,https://a0.muscache.com/pictures/miso/Hosting-13002184/original/7bc4438a-8653-465a-b712-eda687f9f71d.jpeg,https://www.airbnb.com/rooms/13002184,Entire home/apt,6,528.0,4.0,4.98,51,32.83667,-117.27576
13716636,San Diego,San Diego,https://a0.muscache.com/pictures/85018529-10d1-4c4c-a10a-ae7d39f2264d.jpg,https://www.airbnb.com/rooms/13716636,Entire home/apt,6,267.0,4.0,4.89,431,32.73975,-117.22992
13127748,San Diego,San Diego,https://a0.muscache.com/pictures/prohost-api/Hosting-13127748/original/8f9930f6-d459-42f9-89d2-d72ea9700de5.jpeg,https://www.airbnb.com/rooms/13127748,Entire home/apt,6,357.0,4.0,4.84,68,32.7830579,-117.2514211
14450028,San Diego,San Diego,https://a0.muscache.com/pictures/c8611ce5-336a-434b-8728-349534f673bb.jpg,https://www.airbnb.com/rooms/14450028,Entire home/apt,6,330.0,5.0,4.65,104,32.75083,-117.25033
14614213,San Diego,San Diego,https://a0.muscache.com/pictures/miso/Hosting-14614213/original/28341271-e814-4b53-a5d9-a7b5bc5f15f0.jpeg,https://www.airbnb.com/rooms/14614213,Entire home/apt,6,100.0,4.0,4.87,166,32.57383,-117.08822
14091015,San Diego,San Diego,https://a0.muscache.com/pictures/26c1616b-cea7-4da0-9c11-f44c76e04b2e.jpg,https://www.airbnb.com/rooms/14091015,Entire home/apt,6,197.0,4.0,4.86,318,32.76722,-117.18945
14093217,San Diego,San Diego,https://a0.muscache.com/pictures/9bfd5996-ed98-452f-90ea-5249470078f8.jpg,https://www.airbnb.com/rooms/14093217,Entire home/apt,6,227.0,4.0,4.82,472,32.7301,-117.16822
15741163,San Diego,San Diego,https://a0.muscache.com/pictures/96291a72-da01-4356-be73-3b36cd754d9b.jpg,https://www.airbnb.com/rooms/15741163,Entire home/apt,6,396.0,4.0,4.99,86,32.78348,-117.25198
16635278,San Diego,San Diego,https://a0.muscache.com/pictures/d6a12689-6b34-4237-8c80-bca1c95c28c1.jpg,https://www.airbnb.com/rooms/16635278,Entire home/apt,6,332.0,4.0,4.87,304,32.77251,-117.25186
16300721,San Diego,San Diego,https://a0.muscache.com/pictures/b62c574a-6f7b-436a-bdb4-42cc04f43f49.jpg,https://www.airbnb.com/rooms/16300721,Entire home/apt,6,237.0,4.0,4.88,156,32.80995,-117.23023
16755566,San Diego,San Diego,https://a0.muscache.com/pictures/a40b81b7-c0fb-41cf-a007-85eb2006886a.jpg,https://www.airbnb.com/rooms/16755566,Entire home/apt,5,129.0,4.0,4.83,203,32.74201,-117.12892
17154023,San Diego,San Diego,https://a0.muscache.com/pictures/d3b012c5-3b49-4c2b-8fa5-e0b41091f1b0.jpg,https://www.airbnb.com/rooms/17154023,Entire home/apt,6,167.0,4.0,4.9,267,32.80312,-117.23504
16972798,San Diego,La Jolla,https://a0.muscache.com/pictures/prohost-api/Hosting-16972798/original/053f8c84-e2b3-4011-a4ec-83f61e83db28.jpeg,https://www.airbnb.com/rooms/16972798,Entire home/apt,6,216.0,4.0,4.54,107,32.830362,-117.278765
17514885,San Diego,San Diego,https://a0.muscache.com/pictures/prohost-api/Hosting-17514885/original/97afd3f2-ddf9-49c8-a517-ccdebf66c52b.jpeg,https://www.airbnb.com/rooms/17514885,Private room,6,189.0,5.0,4.81,385,32.71313,-117.16027
17608260,San Diego,San Diego,https://a0.muscache.com/pictures/e4438371-0753-4e1c-ab84-1ae76dc12e2d.jpg,https://www.airbnb.com/rooms/17608260,Entire home/apt,5,95.0,4.0,4.47,212,32.75995,-117.24883
17879510,San Diego,San Diego,https://a0.muscache.com/pictures/prohost-api/Hosting-17879510/original/b939df1c-8170-42d1-8dd4-18274e5ea09a.jpeg,https://www.airbnb.com/rooms/17879510,Entire home/apt,6,208.0,5.0,4.51,75,32.748191,-117.252252
18126056,San Diego,San Diego,https://a0.muscache.com/pictures/aa15fbe6-a63d-4566-a11e-2a42b0d27693.jpg,https://www.airbnb.com/rooms/18126056,Entire home/apt,5,151.0,4.0,4.94,598,32.76441,-117.13014
18915012,San Diego,San Diego,https://a0.muscache.com/pictures/miso/Hosting-18915012/original/9bc6af8f-fed9-4021-91fd-5445b272b223.jpeg,https://www.airbnb.com/rooms/18915012,Entire home/apt,5,149.0,4.0,4.8,285,32.7123,-117.16098
