region,parameter,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Wisconsin,humidity,88.81478260869565,86.62521739130435,80.2904347826087,77.1904347826087,77.47869565217391,76.51565217391305,73.51565217391305,73.44782608695652,75.29,77.38913043478261,81.40695652173913,88.14260869565217
Wisconsin,temperature,-6.782608695652174,-5.595217391304348,1.1960869565217391,6.900434782608696,13.249565217391305,19.115652173913045,22.421739130434784,21.84913043478261,17.627391304347828,10.26608695652174,3.032608695652174,-3.6995652173913043
Wisconsin,wind_speed,5.847391304347826,5.899130434782609,5.506086956521739,5.5926086956521734,4.909130434782608,4.228260869565218,3.8095652173913046,3.705217391304348,4.3713043478260865,5.0486956521739135,5.406086956521739,5.536521739130435
California,humidity,59.53304347826087,62.617826086956526,63.88,62.48304347826087,61.38913043478261,56.503478260869564,51.19565217391305,48.65130434782609,49.90347826086956,53.05391304347826,52.37130434782608,58.77956521739131
California,temperature,12.066521739130437,12.194782608695652,13.705217391304348,15.23913043478261,17.582173913043476,20.50521739130435,23.399130434782613,23.967391304347824,23.09391304347826,19.398260869565217,15.408260869565217,11.876086956521737
California,wind_speed,3.4008695652173913,3.2369565217391307,3.0165217391304346,3.032173913043478,2.791739130434783,2.5413043478260873,2.40695652173913,2.3343478260869563,2.368695652173913,2.603913043478261,3.0152173913043474,3.2639130434782606
Florida,humidity,75.24478260869566,75.69217391304348,72.81565217391304,72.65434782608695,74.52695652173912,77.71521739130435,76.47304347826088,76.76826086956522,77.99782608695652,76.3104347826087,75.07739130434783,76.87782608695652
Florida,temperature,21.21,22.183913043478263,23.11565217391304,24.66913043478261,26.280869565217394,27.946521739130436,28.749565217391304,29.020869565217392,28.358260869565218,26.874347826086957,24.442608695652176,22.831739130434784
Florida,wind_speed,5.525652173913044,5.406086956521739,5.656956521739131,5.391304347826087,4.971304347826087,4.02391304347826,3.7382608695652175,3.8460869565217393,4.14304347826087,5.285652173913043,5.5804347826086955,5.4769565217391305
Rio de Janeiro,humidity,81.79304347826087,81.67999999999999,82.43695652173913,81.49217391304347,80.03,79.78869565217391,77.76260869565218,76.4895652173913,76.68782608695652,78.95739130434782,81.31391304347827,82.46217391304349
Rio de Janeiro,temperature,25.88478260869565,25.919565217391302,25.41391304347826,24.106956521739132,21.936521739130434,21.07304347826087,20.463043478260868,20.943478260869565,21.886521739130433,23.01304347826087,23.44086956521739,24.791739130434784
Rio de Janeiro,wind_speed,2.998695652173913,2.902173913043478,2.8443478260869566,3.0482608695652176,3.183913043478261,3.1204347826086956,3.345652173913044,3.5256521739130435,3.7313043478260868,3.529565217391305,3.4434782608695653,3.1234782608695655
Santiago,humidity,31.46695652173913,33.86478260869565,31.52782608695652,32.63739130434782,39.53173913043479,48.77695652173912,51.404347826086955,50.431739130434785,48.19652173913043,41.73391304347826,33.53739130434783,29.964782608695653
Santiago,temperature,21.907826086956522,21.067391304347826,19.463478260869564,16.097826086956523,12.540434782608695,9.15304347826087,8.53608695652174,9.836086956521738,11.760434782608696,14.599565217391305,18.054347826086957,20.610869565217392
Santiago,wind_speed,3.1313043478260867,3.0126086956521743,2.784347826086957,2.5408695652173914,2.4417391304347826,2.652173913043478,2.530869565217391,2.5204347826086955,2.492608695652174,2.6695652173913045,2.9508695652173915,3.1213043478260873
Belize,humidity,80.08434782608695,78.36739130434783,75.8108695652174,75.72565217391305,77.70913043478261,82.17173913043479,81.41304347826087,81.15217391304348,82.15739130434783,82.91304347826087,81.83391304347826,81.29608695652173
Belize,temperature,24.748695652173915,25.39869565217391,26.125217391304346,27.316086956521737,28.11913043478261,28.12,28.130434782608695,28.407391304347826,28.364782608695652,27.44173913043478,26.047391304347826,25.374347826086957
Belize,wind_speed,4.222173913043478,4.390434782608696,4.5117391304347825,4.468695652173913,4.482608695652174,4.53304347826087,4.285217391304348,4.025217391304348,3.5847826086956522,3.6586956521739133,3.864347826086956,3.9899999999999998
